industry,company_name,career_url,ats_type,status,notes
Accounting Firms,BDO,https://ebqb.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/jobs,oracle,future_connector,Corrected from bad Workday guess. Current jobs site uses Oracle Cloud Recruiting; unsupported until an Oracle connector exists.
Accounting Firms,BRC (Bernard Robinson & Company),https://www.brc.cpa/careers/current-opportunities/,unknown,manual_only,count for future connector decision
Accounting Firms,"Carr, Riggs & Ingram",https://www.criadv.com/career-opportunities/,unknown,manual_only,Corrected from bad Workday guess. Public careers page is custom/website-based; keep out of company_config.csv until a reliable jobs endpoint is confirmed.
Accounting Firms,Cherry Bekaert,https://cbh.wd12.myworkdayjobs.com/CherryBekaert,workday,ready_now,Corrected Workday tenant/site URL; can test for company_config.csv.
Accounting Firms,CLA (CliftonLarsonAllen),https://cliftonlarsonallen.wd1.myworkdayjobs.com/CLA,workday,ready_now,Corrected Workday tenant/site URL; can test for company_config.csv.
Accounting Firms,Dean Dorton,https://jobs.jobvite.com/deandortoncareers/jobs,jobvite,future_connector,raw ATS: UKG Pro; count for future connector decision
Accounting Firms,Deloitte,https://apply.deloitte.com/en_US/careers/SearchJobs,unknown,manual_only,raw ATS: Custom / Avature; count for future connector decision
Accounting Firms,EisnerAmper,https://careers.eisneramper.com/search,unknown,manual_only,can test for company_config.csv
Accounting Firms,Elliott Davis,https://elliottdavis.wd5.myworkdayjobs.com/ED,workday,ready_now,can test for company_config.csv
Accounting Firms,EY (Ernst & Young),https://usearlycareers.ey.com/,unknown,manual_only,count for future connector decision
Accounting Firms,Forvis (Forvis Mazars),https://jobs.forvismazars.us/jobs,unknown,manual_only,Corrected from bad Workday guess. US experienced careers currently route through Avature; unsupported until Avature connector exists.
Accounting Firms,Frost PLLC,https://frost.bamboohr.com/careers,bamboo,manual_only,raw ATS: Custom / Email; manual tracking or later custom handling
Accounting Firms,Grant Thornton,https://ehzq.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs,oracle,future_connector,Corrected from bad Workday guess. Current US jobs site uses Oracle Cloud Recruiting; unsupported until an Oracle connector exists.
Accounting Firms,Hall CPA,https://hall-cpa-llc.breezy.hr/,breezy,future_connector,raw ATS: Custom / Email; manual tracking or later custom handling
Accounting Firms,Johnson Lambert,https://www.johnsonlambert.com/open-positions/,unknown,manual_only,count for future connector decision
Accounting Firms,KPMG,https://www.kpmguscareers.com/job-search/?career-level-parents=Early%20Career%7C&career-level=&spage=1#,unknown,manual_only,raw ATS: Custom / Avature; count for future connector decision
Accounting Firms,Myers Stauffer,https://ebez.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_4/,oracle,future_connector,can test for company_config.csv
Accounting Firms,PBMares,https://www2.appone.com/Search/Search.aspx?ServerVar=PBMaresLLP.appone.com&results=yes,unknown,manual_only,count for future connector decision
Accounting Firms,PwC (PricewaterhouseCoopers),https://jobs.us.pwc.com/search-jobs,unknown,manual_only,can test for company_config.csv
Accounting Firms,RSM,https://jobs.rsmus.com/?country=United+States&utm_source=usa_corporate_site&utm_medium=referral&utm_campaign=internal_navigation,unknown,manual_only,Corrected from old Workday URL. Current RSM jobs site is not a direct supported Workday/Greenhouse URL; keep manual until endpoint is mapped.
Accounting Firms,Sharpe Patel,https://www.sharpepatelcpas.com/careers,unknown,manual_only,raw ATS: Custom / Email; manual tracking or later custom handling
Accounting Firms,Sorren (includes Williams Overman Pierce),https://sorren.wd12.myworkdayjobs.com/US,workday,ready_now,raw ATS: Custom / Email; manual tracking or later custom handling
Accounting Firms,"TJT / Thomas, Judy & Tucker",https://tjtpa.com/current-opportunities/,unknown,manual_only,raw ATS: Custom / Email; manual tracking or later custom handling
Accounting Firms,TRP Sumner,https://recruiting.paylocity.com/recruiting/jobs/All/3a118fc6-d1a2-4bef-ad38-06a1c8d3259c/TRP-Sumner-PLLC,unknown,manual_only,raw ATS: Custom / Email; manual tracking or later custom handling
Banks & Financial Institutions,Bank of America,https://careers.bankofamerica.com/en-us/job-search,unknown,manual_only,Corrected Workday site URL for US lateral careers; can test for company_config.csv.
Banks & Financial Institutions,CAPTRUST,https://careers-captrust.icims.com/jobs/search,icims,future_connector,can test for company_config.csv
Banks & Financial Institutions,Civic Federal Credit Union,https://www.civicfcu.org/careers#section-job-listing-header,unknown,manual_only,count for future connector decision
